mode,iteration,energy,is_baseline
golden,1,-3.92941,False
golden,2,-4.150918,False
golden,3,-4.152787,False
golden,4,-4.403633,False
golden,5,-4.292768,False
golden,6,-4.379318,False
golden,7,-4.419924,False
golden,8,-4.331468,False
golden,9,-4.31241,False
golden,10,-4.256266,False
golden,11,-4.283617,False
golden,12,-4.457009,False
golden,13,-4.496656,False
golden,14,-4.433268,False
golden,15,-4.361779,False
golden,16,-4.567214,False
golden,17,-4.676726,False
golden,18,-4.782397,False
golden,19,-4.736893,False
golden,20,-4.734191,False
golden,21,-4.716381,False
golden,22,-4.771582,False
golden,23,-4.856109,False
golden,24,-4.900181,False
golden,25,-4.989468,False
golden,26,-4.849067,False
golden,27,-4.884132,False
golden,28,-5.027245,False
golden,29,-5.011751,False
golden,30,-5.121122,False
bronze,1,-3.835519,False
bronze,2,-3.977431,False
bronze,3,-4.114188,False
bronze,4,-3.981786,False
bronze,5,-4.447594,False
bronze,6,-4.755774,False
bronze,7,-5.223746,False
bronze,8,-5.233198,False
bronze,9,-5.214494,False
bronze,10,-5.183871,False
bronze,11,-5.351146,False
bronze,12,-4.869419,False
bronze,13,-5.589279,False
bronze,14,-5.679726,False
bronze,15,-5.526767,False
bronze,16,-5.69473,False
bronze,17,-5.908759,False
bronze,18,-5.579202,False
bronze,19,-5.884533,False
bronze,20,-5.779061,False
bronze,21,-5.679055,False
bronze,22,-5.787315,False
bronze,23,-5.946382,False
bronze,24,-5.913442,False
bronze,25,-6.241061,False
bronze,26,-6.343844,False
bronze,27,-6.40722,False
bronze,28,-6.213516,False
bronze,29,-6.162765,False
bronze,30,-6.53206,False
cocktail,1,-5.052932,False
cocktail,2,-4.588727,False
cocktail,3,-5.133067,False
cocktail,4,-5.195309,False
cocktail,5,-5.102969,False
cocktail,6,-5.278495,False
cocktail,7,-5.106936,False
cocktail,8,-5.086302,False
cocktail,9,-4.869578,False
cocktail,10,-5.005944,False
cocktail,11,-4.8458,False
cocktail,12,-5.018991,False
cocktail,13,-5.043067,False
cocktail,14,-4.993867,False
cocktail,15,-4.904778,False
cocktail,16,-5.065002,False
cocktail,17,-5.183026,False
cocktail,18,-5.086362,False
cocktail,19,-5.226332,False
cocktail,20,-5.133594,False
cocktail,21,-5.115025,False
cocktail,22,-5.285195,False
cocktail,23,-5.037207,False
cocktail,24,-5.277031,False
cocktail,25,-5.263502,False
cocktail,26,-5.479355,False
cocktail,27,-5.328185,False
cocktail,28,-5.460182,False
cocktail,29,-5.508671,False
cocktail,30,-5.438077,False
chaotic_logistic,1,-4.492648,False
chaotic_logistic,2,-4.590873,False
chaotic_logistic,3,-4.528256,False
chaotic_logistic,4,-4.444564,False
chaotic_logistic,5,-4.607151,False
chaotic_logistic,6,-4.42214,False
chaotic_logistic,7,-4.532178,False
chaotic_logistic,8,-4.421177,False
chaotic_logistic,9,-4.436625,False
chaotic_logistic,10,-4.686239,False
chaotic_logistic,11,-4.591096,False
chaotic_logistic,12,-4.623373,False
chaotic_logistic,13,-4.515791,False
chaotic_logistic,14,-4.690151,False
chaotic_logistic,15,-4.675553,False
chaotic_logistic,16,-4.66931,False
chaotic_logistic,17,-4.642756,False
chaotic_logistic,18,-4.734501,False
chaotic_logistic,19,-4.701131,False
chaotic_logistic,20,-4.697956,False
chaotic_logistic,21,-4.764189,False
chaotic_logistic,22,-4.758381,False
chaotic_logistic,23,-4.772727,False
chaotic_logistic,24,-4.890218,False
chaotic_logistic,25,-4.84916,False
chaotic_logistic,26,-4.71397,False
chaotic_logistic,27,-4.955195,False
chaotic_logistic,28,-5.041864,False
chaotic_logistic,29,-4.927561,False
chaotic_logistic,30,-4.934385,False
uniform,1,-4.18868,True
uniform,2,-4.628981,True
uniform,3,-4.888507,True
uniform,4,-4.784179,True
uniform,5,-4.426423,True
uniform,6,-4.356674,True
uniform,7,-4.423718,True
uniform,8,-4.500118,True
uniform,9,-4.483918,True
uniform,10,-4.507468,True
uniform,11,-4.371075,True
uniform,12,-4.654854,True
uniform,13,-4.584996,True
uniform,14,-4.771125,True
uniform,15,-4.718195,True
uniform,16,-4.399032,True
uniform,17,-4.480387,True
uniform,18,-4.713662,True
uniform,19,-4.675745,True
uniform,20,-4.623465,True
uniform,21,-4.796753,True
uniform,22,-5.365737,True
uniform,23,-4.988229,True
uniform,24,-4.778277,True
uniform,25,-4.837018,True
uniform,26,-4.588648,True
uniform,27,-4.901856,True
uniform,28,-5.261443,True
uniform,29,-5.212228,True
uniform,30,-5.278103,True
harmonic,1,-4.11524,True
harmonic,2,-4.387234,True
harmonic,3,-4.446808,True
harmonic,4,-4.337746,True
harmonic,5,-4.286818,True
harmonic,6,-4.207636,True
harmonic,7,-4.410841,True
harmonic,8,-4.325036,True
harmonic,9,-4.253373,True
harmonic,10,-4.048388,True
harmonic,11,-4.145424,True
harmonic,12,-4.36579,True
harmonic,13,-4.241639,True
harmonic,14,-4.228918,True
harmonic,15,-4.243344,True
harmonic,16,-4.399908,True
harmonic,17,-4.945396,True
harmonic,18,-4.188286,True
harmonic,19,-4.110061,True
harmonic,20,-4.459159,True
harmonic,21,-4.506841,True
harmonic,22,-4.464962,True
harmonic,23,-4.516764,True
harmonic,24,-4.590406,True
harmonic,25,-4.594186,True
harmonic,26,-4.671538,True
harmonic,27,-4.73191,True
harmonic,28,-4.803652,True
harmonic,29,-4.749715,True
harmonic,30,-4.825981,True
